nama,X,Y
Rumah Saya,108.13707817124839,-7.731721817325979
STMIK DCI,108.23366224765778,-7.331347983155008
kosan,108.20264999017718,-7.359475480469231
SDN KUJANG,108.1360512971878,-7.74611507184996
SMPN SATAP 2 KARANGNUNGGAL,108.13556581735611,-7.746356925571011
SMK SWADAYA KARANGNUNGGAL,108.12238812446594,-7.6319951986558
rumah nenek,108.14101297187324,-7.710794916208254
kosan 2,108.23409676551819,-7.330929653716311
rumah 2,108.12585874795258,-7.657223132213971
